water_district,wdid,admin_number,admin_date
1,0105126,14154.00000,1888-10-01
1,0105127,32291.00000,1938-05-30
1,0105127,14154.00000,1888-10-01
1,0105128,29309.00000,1930-03-31
1,0105128,31349.00000,1935-10-31
1,0105128,37467.00000,1952-07-31
1,0105129,37070.00000,1951-06-30
1,0105129,30008.00000,1932-02-28
1,0105130,40846.00000,1961-10-31
1,0105130,35640.00000,1947-07-31
1,0105131,14154.00000,1888-10-01
1,0105131,37791.00000,1953-06-20
1,0105132,38471.00000,1955-05-01
1,0105132,14154.00000,1888-10-01
1,0105133,38227.00000,1954-08-30
1,0105133,14154.00000,1888-10-01
1,0105134,37060.00000,1951-06-20
1,0105134,14154.00000,1888-10-01
1,0105135,38350.00000,1954-12-31
1,0105135,11979.00000,1882-10-18
1,0105136,38148.00000,1954-06-12
1,0105136,14154.00000,1888-10-01
1,0105137,41704.00000,1964-03-07
1,0105137,11979.00000,1882-10-18
1,0105138,31195.00000,1935-05-30
1,0105138,14154.00000,1888-10-01
1,0105139,31832.00000,1937-02-25
1,0105139,11979.00000,1882-10-18
1,0105140,43633.00000,1969-06-18
1,0105140,11979.00000,1882-10-18
1,0105140,56247.00000,2003-12-31
1,0105140,56338.00000,2004-03-31
1,0105141,39867.00000,1959-02-25
1,0105141,11979.00000,1882-10-18
1,0105142,41828.00000,1964-07-09
1,0105142,14154.00000,1888-10-01
1,0105143,36584.00000,1950-03-01
1,0105143,11979.00000,1882-10-18
1,0105144,37842.00000,1953-08-10
1,0105144,14154.00000,1888-10-01
1,0105145,38837.00000,1956-05-01
1,0105145,11979.00000,1882-10-18
1,0105145,30922.00000,1934-08-30
1,0105146,30922.00000,1934-08-30
1,0105146,11979.00000,1882-10-18
1,0105147,32312.00000,1938-06-20
1,0105147,14154.00000,1888-10-01
1,0105148,33043.00000,1940-06-20
1,0105148,14154.00000,1888-10-01
1,0105149,37791.00000,1953-06-20
1,0105149,14154.00000,1888-10-01
1,0105150,41842.00000,1964-07-23
1,0105150,14154.00000,1888-10-01
1,0105151,31582.00000,1936-06-20
1,0105151,14154.00000,1888-10-01
1,0105152,35975.00000,1948-06-30
1,0105152,14154.00000,1888-10-01
1,0105154,44682.00000,1972-05-02
1,0105154,33448.00000,1941-07-30
1,0105155,36614.00000,1950-03-31
1,0105155,37002.00000,1951-04-23
1,0105156,45290.45015,1973-12-31
1,0105156,11809.00000,1882-05-01
1,0105157,42488.00000,1966-04-30
1,0105157,11809.00000,1882-05-01
1,0105158,11809.00000,1882-05-01
1,0105158,42093.00000,1965-03-31
1,0105159,11809.00000,1882-05-01
1,0105159,31866.00000,1937-03-31
1,0105160,37345.00000,1952-03-31
1,0105160,11809.00000,1882-05-01
1,0105161,11809.00000,1882-05-01
1,0105161,38440.00000,1955-03-31
1,0105162,41788.00000,1964-05-30
1,0105162,11979.00000,1882-10-18
1,0105163,38196.00000,1954-07-30
1,0105163,14154.00000,1888-10-01
1,0105164,41948.00000,1964-11-06
1,0105164,14154.00000,1888-10-01
1,0105170,38509.00000,1955-06-08
1,0105170,14154.00000,1888-10-01
1,0105171,31531.00000,1936-04-30
1,0105171,11979.00000,1882-10-18
1,0105172,33206.00000,1940-11-30
1,0105172,11979.00000,1882-10-18
1,0105173,38196.00000,1954-07-30
1,0105173,11979.00000,1882-10-18
1,0105174,38866.00000,1956-05-30
1,0105174,11979.00000,1882-10-18
1,0105175,38521.00000,1955-06-20
1,0105175,11979.00000,1882-10-18
1,0105176,35609.00000,1947-06-30
1,0105176,11979.00000,1882-10-18
1,0105177,31216.00000,1935-06-20
1,0105177,14154.00000,1888-10-01
1,0105178,41505.00000,1963-08-21
1,0105178,34910.00000,1945-07-31
1,0105179,37620.00000,1952-12-31
1,0105179,14154.00000,1888-10-01
1,0105180,37558.00000,1952-10-30
