district,year,tot_qaf
1,1970,74326.9
1,1971,71718.2
1,1972,44691.23
1,1973,64994.93
1,1974,54600.99
1,1975,55264.48
1,1976,37264.61
1,1977,30585.17
1,1978,57066.49
1,1979,61018.21
1,1980,71574
1,1981,28183.75
1,1982,53923.43
1,1983,89817.64
1,1984,86014.87
1,1985,46243.32
1,1986,61972.67
1,1987,45488.2
1,1988,44133.67
1,1989,31352.99
1,1990,49222.34
1,1991,47793.23
1,1992,40018.5
1,1993,52472.7
1,1994,44140.41
1,1995,81388.56
1,1996,66901.47
1,1997,79449.49
1,1998,55644.71
1,1999,59965.77
1,2000,39251.08
1,2001,36812.37
1,2002,17553.78
1,2003,61144.56
1,2004,41722.92
1,2005,59483.38
1,2006,46497.21
1,2007,49454.61
1,2008,46513.08
1,2009,59689.47
1,2010,55411.06
1,2011,81783.67
1,2012,26434.1
1,2013,55490.79
1,2014,80351.59
1,2015,75593.17
1,2016,51697.94
1,2017,58525.15
1,2018,43404.93
1,2019,50894.63
1,2020,43682.62
1,2021,45860.7
1,2022,43597.13
1,2023,22898.52
2,1970,74326.9
2,1971,71718.2
2,1972,44691.23
2,1973,64994.93
2,1974,54600.99
2,1975,55264.48
2,1976,37264.61
2,1977,30585.17
2,1978,57066.49
2,1979,61018.21
2,1980,71574
2,1981,28183.75
2,1982,53923.43
2,1983,89817.64
2,1984,86014.87
2,1985,46243.32
2,1986,61972.67
2,1987,45488.2
2,1988,44133.67
2,1989,31352.99
2,1990,49222.34
2,1991,47793.23
2,1992,40018.5
2,1993,52472.7
2,1994,44140.41
2,1995,81388.56
2,1996,66901.47
2,1997,79449.49
2,1998,55644.71
2,1999,59965.77
2,2000,39251.08
2,2001,36812.37
2,2002,17553.78
2,2003,61144.56
2,2004,41722.92
2,2005,59483.38
2,2006,46497.21
2,2007,49454.61
2,2008,46513.08
2,2009,59689.47
2,2010,55411.06
2,2011,81783.67
2,2012,26434.1
2,2013,55490.79
2,2014,80351.59
2,2015,75593.17
2,2016,51697.94
2,2017,58525.15
2,2018,43404.93
2,2019,50894.63
2,2020,43682.62
2,2021,45860.7
2,2022,43597.13
2,2023,22898.52
6,1970,74326.9
6,1971,71718.2
6,1972,44691.23
6,1973,64994.93
6,1974,54600.99
6,1975,55264.48
6,1976,37264.61
6,1977,30585.17
6,1978,57066.49
6,1979,61018.21
6,1980,71574
6,1981,28183.75
6,1982,53923.43
6,1983,89817.64
6,1984,86014.87
6,1985,46243.32
6,1986,61972.67
6,1987,45488.2
6,1988,44133.67
6,1989,31352.99
6,1990,49222.34
6,1991,47793.23
6,1992,40018.5
6,1993,52472.7
6,1994,44140.41
6,1995,81388.56
6,1996,66901.47
6,1997,79449.49
6,1998,55644.71
6,1999,59965.77
6,2000,39251.08
6,2001,36812.37
6,2002,17553.78
6,2003,61144.56
6,2004,41722.92
6,2005,59483.38
6,2006,46497.21
6,2007,49454.61
6,2008,46513.08
6,2009,59689.47
6,2010,55411.06
6,2011,81783.67
6,2012,26434.1
6,2013,55490.79
6,2014,80351.59
6,2015,75593.17
6,2016,51697.94
6,2017,58525.15
6,2018,43404.93
6,2019,50894.63
6,2020,43682.62
6,2021,45860.7
6,2022,43597.13
6,2023,22898.52
49,1970,74326.9
49,1971,71718.2
49,1972,44691.23
49,1973,64994.93
49,1974,54600.99
49,1975,55264.48
49,1976,37264.61
49,1977,30585.17
49,1978,57066.49
49,1979,61018.21
49,1980,71574
49,1981,28183.75
49,1982,53923.43
49,1983,89817.64
49,1984,86014.87
